18 offres,tfidf
langues,14.0438788709
communication,9.30300736139
organisation,7.51327375805
plan,6.94940843782
direction,6.71659087554
gestion,6.68392047692
clients,6.01225630081
experience,5.44916684818
solutions,4.76313540872
operations,4.75074931457
collaboration,4.62831264974
commerce,4.11529157191
connaissance,3.94895867173
recherche,3.85213158087
comptabilite,3.71507137355
formation,3.47902049923
procedures,3.44480265066
competences,3.04707168211
services,2.95293465375
information,2.87853894666
web,2.56059813413
applications,2.5344665045
ingenierie,2.4994573903
service,2.40183483184
respect,2.04979248809
autonome,1.8928678084
autonomie,1.82893479388
developpement,1.82824300926
analyse,1.60293349682
environnement,1.53097904525
transport,1.23558050498
conception,1.14192254765
ventes,1.13917549509
management,1.02389510372
premiere,0.971001653029
rigueur,0.958350557634
dynamique,0.925049435391
informatique,0.923697606745
techniques,0.763014590113
