18 offres,tfidf
sens organisation,6.3480190664
gestion personnel,4.2996031442
ressources humaines,3.92474878567
communication ecrite,3.72883478449
communication orale,3.26744814659
relations interpersonnelles,3.23194174827
service clientele,2.44691825095
developpement affaires,2.20003636501
relations clients,2.19779194409
sens analyse,2.18819796301
esprit equipe,2.18286791177
controle qualite,2.11948215064
administration affaires,2.07229390994
sens initiative,2.06895316668
assurances collectives,2.05049287221
gestion priorites,2.03585821979
genie civil,1.96054886699
excellente connaissance,1.94735517333
prise decision,1.92728519056
supply chain,1.92489017815
controle gestion,1.717696058
capacite adaptation,1.68809530965
gestion projets,1.63987565606
avantages sociaux,1.46939632051
permis conduire,1.46772595506
capacite travailler,1.3629409896
travailler equipe,1.33188041091
mise place,1.31445252299
