216 offres,tfidf
gestion ressources,33.6572261032
gestion operations,31.2054868357
vision strategique,29.5398679983
gestion entreprise,24.4770919205
gestion financiere,23.2422567179
planification strategique,19.1618395291
administration generale,16.8582516086
enseignement superieur,16.2141784176
strategie entreprise,12.5166122049
prevention pertes,11.6539876243
business plan,10.6641989539
relations publiques,10.1513331684
sens affaires,10.0072683439
agent changement,9.74013475532
developpement economique,8.81222719043
gestion equipes,8.51658986332
gestion budgetaire,8.48752806112
optimisation processus,8.11510906162
gestion generale,7.20197418545
developpement regional,7.20197418545
administration publique,6.8624720234
conseil strategique,6.81282485595
developpement marches,6.52748984881
marketing strategique,6.46064233784
leadership mobilisateur,6.21076486462
gestion couts,6.1753073307
gestion ventes,6.08727367273
gestion rendement,6.00734707284
reflexion strategique,5.93415946829
controle couts,5.89975540807
