15 offres,tfidf
environment,17.1611964735
profit,15.8592420179
team,15.2894123058
sales,12.746974241
profits,12.4941096988
principal,12.0031916367
improvement,11.7333246042
performance,11.027553554
work,10.8098792596
fitness,10.4140597047
leadership,10.3479284385
world,9.60645418037
qualifications,9.60077284901
training,9.52260626332
including,8.88625331956
budgets,8.22117101784
efficace,7.93160243352
positive,7.55892073646
communicates,6.97118734804
elaboration,6.78005593704
business,6.76987504837
coaching,6.66942775288
vue,6.44676830463
customer,6.44540199903
retail,6.33620608068
gym,6.31306990952
indicateurs,6.15787621922
flexible,6.03087084573
finances,6.02686571103
organiser,5.70715274939
