15 offres,tfidf
centre,21.1615133494
ventes,15.9484569312
clients,14.5296193936
operations,13.0645606151
vente,10.5746832026
respect,10.2489624404
gestion,9.76880685089
environnement,9.18587427149
direction,8.63561683998
service,8.40642191143
experience,7.53267181954
recherche,6.16341052939
recrutement,5.6092818735
competences,4.87531469137
responsable,4.7233926478
langues,4.68129295698
communication,4.65150368069
connaissance,4.60711845035
services,4.42940198063
formation,4.17482459907
analyse,4.00733374205
commercial,3.98723205299
comptabilite,3.71507137355
plan,3.47470421891
procedures,3.44480265066
realisation,3.31995292623
management,3.07168531115
organisation,3.00530950322
transport,2.47116100996
developpement,2.43765734569
international,2.23461357824
premiere,1.94200330606
information,1.91902596444
solutions,1.90525416349
autonome,1.8928678084
dynamique,1.85009887078
commerce,1.02882289298
techniques,0.763014590113
