15 offres,tfidf
service client,9.85416537555
directeur general,7.79277755994
service clientele,7.34075475284
direction generale,5.71971800005
comptabilite generale,4.42133296185
esprit equipe,4.36573582354
respect delais,4.10204953998
capacite travailler,4.08882296879
experience management,4.03745210734
management equipe,3.78609366366
communication ecrite,3.72883478449
ressources humaines,2.61649919044
relations clients,2.19779194409
capacite ecoute,2.09348320901
sante securite,1.91739194996
parle ecrit,1.83755909916
developpement commercial,1.7823022959
gestion projets,1.63987565606
