29 offres,tfidf
gestion,22.1083523467
responsable,16.5318742673
direction,11.5141557866
comptabilite,9.90685699612
management,8.19116082973
commercial,6.97765609273
information,6.71659087554
organisation,6.01061900644
marketing,5.9593145855
ventes,5.69587747543
service,5.40412837163
developpement,4.87531469137
formation,4.87062869892
rigueur,4.79175278817
collaboration,4.62831264974
recrutement,4.4874254988
services,4.42940198063
clients,4.00817086721
autonome,3.7857356168
vente,3.52489440087
experience,3.20539226363
commerce,3.08646867893
dynamique,2.77514830617
informatique,2.77109282023
autonomie,2.74340219081
web,2.56059813413
analyse,2.40440024523
operations,2.37537465729
plan,2.31646947927
recherche,2.31127894852
procedures,2.29653510044
conception,2.28384509531
realisation,2.21330195082
connaissance,1.97447933586
premiere,1.94200330606
solutions,1.90525416349
competences,1.82824300926
communication,1.5505012269
techniques,1.52602918023
centre,1.24479490291
transport,1.23558050498
environnement,0.765489522624
