24 offres,tfidf
formation ligne,6.72130987483
ventes marketing,5.40052767802
vente marketing,5.31043778166
centre appel,5.30192213537
gestion comptes,5.14355964328
strategie affaires,3.78662366969
publicite ligne,3.75859494609
apprentissage rapide,3.37165032172
evaluation besoins,3.23032116892
gestion inventaires,3.22235223925
produits derives,3.1431709932
direction ventes,3.10538243231
services clientele,2.79245321335
new york,2.68168156149
bon/excellent communicateur,2.65008957947
valeurs mobilieres,2.58796658273
entree donnees,2.55617474831
connaissances informatiques,2.54941516466
power point,2.52180584668
sens affaires,2.50181708599
amelioration processus,2.39568856258
gestion dossiers,2.36174203306
parfaitement bilingue,2.28602131912
regime retraite,2.25175180975
gestion ressources,2.10357663145
