24 offres,tfidf
ventes,60.3763012395
clients,33.0674096544
vente,30.8428260076
service,18.0137612388
services,14.0264396053
connaissance,9.87239667932
mecanique,7.81394298204
recherche,7.70426316174
dynamique,7.40039548313
developpement,7.31297203706
centre,6.22397451453
techniques,6.1041167209
competences,6.09414336421
experience,5.76970607454
recrutement,5.6092818735
organisation,5.25929163064
solutions,4.76313540872
procedures,4.59307020088
communication,3.87625306725
informatique,3.69479042698
operations,3.56306198593
plan,3.47470421891
gestion,3.08488637396
environnement,3.0619580905
information,2.87853894666
direction,2.87853894666
autonome,2.8393017126
applications,2.5344665045
formation,2.43531434946
realisation,2.21330195082
rigueur,1.91670111527
responsable,1.57446421593
maintenance,1.27751079427
ingenierie,1.24972869515
langues,1.17032323924
commerce,1.02882289298
respect,1.02489624404
commercial,0.996808013247
autonomie,0.914467396938
analyse,0.801466748409
