24 offres,tfidf
service clientele,20.7988051331
developpement affaires,11.0001818251
parle ecrit,9.18779549581
avantages sociaux,8.81637792306
assurance collective,6.69096350676
suite ms,6.4434052424
esprit equipe,4.36573582354
capacite travailler,4.08882296879
ressources humaines,3.92474878567
suite office,3.81390892811
organisation travail,3.80403417678
base donnees,3.6159734426
service client,3.28472179185
resolution problemes,3.10691655341
sens organisation,2.53920762656
genie electrique,2.19112744786
experience client,2.19112744786
ecrit parle,2.1766737185
sens initiative,2.06895316668
relation client,1.79480711874
nouvelles technologies,1.77238323057
sens responsabilites,1.67201268545
amelioration continue,1.59816393339
travailler equipe,1.33188041091
travail equipe,1.14806785929
