22 offres,tfidf
autonomie,19.2038153357
vente,18.5056956045
management,15.3584265557
commerce,14.4035205017
centre,12.4479490291
premiere,11.6520198363
direction,11.5141557866
responsable,9.44678529561
gestion,9.25465912189
respect,7.17427370831
rigueur,6.70845390344
clients,6.51327765921
collaboration,5.78539081218
service,4.20321095571
procedures,3.44480265066
experience,3.20539226363
developpement,3.04707168211
organisation,3.00530950322
marketing,2.3837258342
recherche,2.31127894852
autonome,1.8928678084
dynamique,1.85009887078
operations,1.18768732864
plan,1.15823473964
realisation,1.10665097541
formation,1.04370614977
informatique,0.923697606745
analyse,0.801466748409
environnement,0.765489522624
services,0.738233663438
competences,0.609414336421
