30 offres,tfidf
social,71.8220259028
droit,53.3528699172
relations,33.9811518058
negociation,17.5532365423
10,14.73016448
animation,9.79962470008
expert,9.5632225315
multi,6.70503383598
retail,6.33620608068
dynamisme,5.79266870433
capa,5.78166584287
professionnelle,5.71223885791
strategie,5.21157508275
industriel,5.06264014588
programmation,5.01737297804
cv,4.79176484732
perseverance,4.48676728352
motivation,4.28682861107
application,4.02274711422
fiabilite,3.58139223863
strategies,3.3688374413
vue,3.22338415232
indicateurs,3.07893810961
grand,2.82155446675
coordination,2.80825269127
dp,2.71720226093
elaboration,2.71202237482
adaptation,2.69669017839
initiative,2.61765474134
excellent,1.18434658539
