30 offres,tfidf
ressources humaines,23.548492714
analyse synthese,7.69816485222
ouverture esprit,4.02081383816
esprit synthese,3.82699381214
esprit analyse,3.28972087882
mise place,2.62890504599
travail equipe,2.29613571858
projets developpement,2.18528810635
esprit equipe,2.18286791177
capacite ecoute,2.09348320901
gestion administrative,2.05369407453
prise decision,1.92728519056
organisation travail,1.90201708839
esprit initiative,1.84148347359
capacite analyse,1.67379532308
sens responsabilites,1.67201268545
gestion projets,1.63987565606
sens organisation,1.26960381328
