13 offres,tfidf
assurance,14.2870819313
rc,9.40992037812
sante,9.05443738368
reclamation,6.1301756749
tpe,4.53797595964
auto,4.43060624171
conseiller,4.40860742418
400,4.32399570092
placement,4.13901635136
culture,4.13345575381
cree,4.106317799
agents,4.03449268722
mis,3.86423041355
protection,3.71645563486
presentation,3.06657132872
prospection,3.03859093392
precise,2.49882193976
professionnelle,2.28489554316
pmi,2.2585644119
relations,2.12382198786
surveillance,1.992833285
polyvalent,1.89341691663
methodique,1.86234438362
pro,1.86028122306
montage,1.85212521844
immobilier,1.76077186534
specialiste,1.71942878266
planifier,1.61694923563
action,1.5365291035
automobile,1.52117689004
