13 offres,tfidf
clients,14.0285980352
vente,8.81223600216
commercial,6.97765609273
developpement,5.48472902779
autonome,2.8393017126
marketing,2.3837258342
ventes,2.27835099017
experience,2.24377458454
international,2.23461357824
gestion,2.05659091598
dynamique,1.85009887078
autonomie,1.82893479388
formation,1.73951024961
responsable,1.57446421593
connaissance,1.31631955724
competences,1.21882867284
collaboration,1.15707816244
procedures,1.14826755022
conception,1.14192254765
realisation,1.10665097541
respect,1.02489624404
premiere,0.971001653029
production,0.963889109702
information,0.95951298222
solutions,0.952627081744
recherche,0.770426316174
organisation,0.751327375805
service,0.600458707959
