17 offres,tfidf
vente,16.7432484041
clients,16.5337048272
centre,14.9375388349
service,9.00688061938
connaissance,8.55607712208
commercial,6.97765609273
recrutement,6.7311382482
services,6.64410297095
formation,6.61013894853
recherche,6.16341052939
organisation,6.01061900644
communication,5.42675429414
environnement,5.35842665837
solutions,4.76313540872
experience,4.32727955591
gestion,4.11318183195
respect,4.09958497617
information,3.83805192888
dynamique,3.70019774156
langues,3.51096971773
plan,3.47470421891
analyse,3.20586699364
premiere,2.91300495909
autonome,2.8393017126
collaboration,2.31415632487
direction,1.91902596444
autonomie,1.82893479388
competences,1.82824300926
developpement,1.82824300926
responsable,1.57446421593
maintenance,1.27751079427
transport,1.23558050498
operations,1.18768732864
ventes,1.13917549509
commerce,1.02882289298
