17 offres,tfidf
service clientele,11.0111321293
services financiers,8.41190545018
gestion patrimoine,6.64358070521
avantages sociaux,5.87758528204
organisation travail,5.70605126517
esprit analyse,4.93458131823
technologies information,4.30094046388
gestion temps,3.9912703892
travailler equipe,2.66376082183
assurance collective,2.23032116892
experience client,2.19112744786
esprit equipe,2.18286791177
relation clients,2.17809763611
ecrit parle,2.1766737185
plans action,2.1640642833
excellente connaissance,1.94735517333
formation continue,1.92211258863
suite office,1.90695446405
relation client,1.79480711874
developpement commercial,1.7823022959
sens responsabilites,1.67201268545
communication orale,1.63372407329
relations interpersonnelles,1.61597087414
analyse synthese,1.53963297044
mise place,1.31445252299
