15 offres,tfidf
assurance,23.3788613421
conseiller,11.7562864645
challenges,9.26062609221
prospection,7.5964773348
sante,6.46745527406
persuasive,3.68396132779
mma,3.56477492007
immobilier,3.52154373068
gmf,3.48559367402
droit,2.88393891445
000,2.85206051224
souci,2.6839088775
telephone,2.640500817
organise,2.46257468338
determinee,2.33946563834
adaptable,2.31631120252
simulation,2.25685121646
avantage,2.22631842647
400,2.16199785046
economie,2.10840888694
revision,2.00224415121
assistant,1.85313638184
profit,1.76213800199
credit,1.7413006909
professionnalisme,1.69860577244
accompagnement,1.54624084964
dynamisme,1.44816717608
organiser,1.42678818735
construction,1.42013845248
excellent,1.18434658539
