29 offres,tfidf
assurance,85.7224915879
cv,17.9691181775
note,14.4469042214
competent,13.6359324092
pdf,13.2232579689
parle,12.9465812405
bilinguisme,11.0207419395
operation,10.3254391873
conseiller,10.2867506564
presenter,9.69934575906
documents,8.96968255941
immobilier,8.8038593267
bilingue,8.56984817763
technologie,8.19628280946
323,8.01694483861
professionnelle,7.99713440107
italien,7.51449909602
chef,6.95636643098
rsa,6.83729376878
ecrit,6.72625607201
persuasion,6.71531717742
distribution,6.53644170498
flex,6.46064233784
placement,6.20852452705
automobile,6.08470756016
negociation,5.40099585916
facturation,5.32897113914
education,5.23569295358
options,5.12262877592
communications,5.1187131675
