29 offres,tfidf
clients,24.5500465616
service,20.4155960706
vente,19.3869192048
ventes,14.8092814361
services,12.5499722785
communication,11.6287592017
recrutement,11.218563747
dynamique,9.25049435391
competences,8.5318007099
recherche,8.47468947791
environnement,7.65489522624
organisation,7.51327375805
connaissance,7.23975756484
experience,5.60943646136
production,4.81944554851
procedures,4.59307020088
information,3.83805192888
autonomie,3.65786958775
langues,3.51096971773
gestion,3.08488637396
informatique,2.77109282023
transport,2.47116100996
developpement,2.43765734569
responsable,2.3616963239
premiere,1.94200330606
centre,1.24479490291
collaboration,1.15707816244
respect,1.02489624404
rigueur,0.958350557634
solutions,0.952627081744
analyse,0.801466748409
formation,0.695804099846
