25 offres,tfidf
assurance qualite,14.85826184
travail equipe,6.88840715574
gestion personnel,6.4494047163
assurances collectives,6.15147861663
indicateurs performance,4.32674875858
respect delais,4.10204953998
capacite analyse,3.34759064616
esprit equipe,3.27430186765
analyse synthese,3.07926594089
excellente connaissance,1.94735517333
prise decision,1.92728519056
sante securite,1.91739194996
esprit synthese,1.91349690607
site web,1.91233517248
management equipe,1.89304683183
relation client,1.79480711874
capacite adaptation,1.68809530965
esprit analyse,1.64486043941
service client,1.64236089592
amelioration continue,1.59816393339
capacite travailler,1.3629409896
travailler equipe,1.33188041091
ressources humaines,1.30824959522
sens organisation,1.26960381328
