10 offres,tfidf
strategie,9.1202563948
multimedia,4.68724319623
media,4.25531765404
parties,4.18345222996
integration,3.76978445712
technologies,3.56590838397
design,3.49892575309
litterature,3.47135323491
communications,3.412475445
10,3.39926872615
ppt,3.32924647316
ocean,3.29995709706
creativite,3.24097939876
budget,2.97728885105
optimisation,2.93323187322
logistique,2.88341535267
organiser,2.85357637469
creation,2.85332354717
000,2.85206051224
audio,2.80737889128
competent,2.72718648183
collection,2.70986189776
adaptation,2.69669017839
mba,2.65951887132
capable,2.60369890148
professionnel,2.54008845917
arts,2.5093965887
polyvalente,2.50483303201
twitter,2.48849866467
b2b,2.4211356848
