10 offres,tfidf
gestion projets,8.19937828028
bases donnees,3.41103300521
medias sociaux,2.38293133213
developpement affaires,2.20003636501
relations clients,2.19779194409
sens analyse,2.18819796301
reseaux sociaux,2.16062567086
suite ms,2.14780174747
bonne communication,2.12260883429
assurance qualite,2.12260883429
suite office,1.90695446405
management equipe,1.89304683183
pack office,1.77406763274
capacite adaptation,1.68809530965
relations interpersonnelles,1.61597087414
resolution problemes,1.5534582767
analyse synthese,1.53963297044
capacite travailler,1.3629409896
travailler equipe,1.33188041091
ressources humaines,1.30824959522
sens organisation,1.26960381328
service clientele,1.22345912547
esprit equipe,1.09143395588
