28 offres,tfidf
medias sociaux,19.063450657
capacite travailler,14.9923508856
relations interpersonnelles,9.69582524482
esprit equipe,8.73147164707
ecrit parle,8.706694874
sens responsabilites,8.36006342727
sens organisation,7.61762287968
permis conduire,7.33862977529
travail equipe,6.88840715574
capacite analyse,6.69518129232
travailler equipe,6.65940205457
reseaux sociaux,6.48187701258
administration affaires,6.21688172982
analyse synthese,6.15853188178
respect delais,6.15307430996
avantages sociaux,5.87758528204
communication ecrite,5.59325217674
gestion projet,5.04914395408
esprit analyse,4.93458131823
gestion projets,4.91962696817
service clientele,4.89383650189
travail pression,4.31035980135
office word,4.29693466602
suite ms,4.29560349493
site web,3.82467034496
suite office,3.81390892811
satisfaction client,3.77726047943
relation client,3.58961423748
resolution problemes,3.10691655341
mise place,2.62890504599
