marketing communications,438
public relations,422
social media,389
french,338
strategic communications,317
corporate communications,291
media relations,244
internal communications,222
marketing,212
microsoft office,200
event planning,176
communication,169
marketing strategy,169
web,167
strategic planning,162
event management,159
social media marketing,154
english,149
relations publiques,134
photoshop,129
project management,123
redaction,112
advertising,111
communication marketing,102
reseaux sociaux,94
international relations,85
communications planning,84
facebook,82
crisis communications,76
francais,75
press releases,74
online advertising,71
editing,71
powerpoint,71
public speaking,66
wordpress,66
microsoft excel,64
google analytics,64
research,64
journalism,61
illustrator,60
customer service,59
writing,58
coaching,57
planification,53
microsoft word,52
digital marketing,50
leadership,48
speech writing,47
management,47
seo,44
indesign,44
social networking,44
