78 offres,tfidf
reseaux sociaux,36.7306364046
medias sociaux,19.063450657
direction generale,13.3460086668
mise place,11.8300727069
site web,11.4740110349
management equipe,9.46523415915
esprit equipe,7.64003769119
nouvelles technologies,7.08953292229
travailler equipe,6.65940205457
veille concurrentielle,6.56459388904
experience management,6.056178161
esprit synthese,5.74049071822
base donnees,5.42396016391
analyse synthese,4.61889891133
travail equipe,4.59227143716
respect delais,4.10204953998
capacite travailler,4.08882296879
directeur general,3.89638877997
sens organisation,3.80881143984
communication ecrite,3.72883478449
esprit initiative,3.68296694718
pack office,3.54813526548
sens analyse,2.18819796301
relation clients,2.17809763611
plans action,2.1640642833
bonne communication,2.12260883429
veille technologique,2.10598603836
capacite ecoute,2.09348320901
sens ecoute,2.08649708815
gestion temps,1.9956351946
